Seller;DataPedido;Pedido;IdSeller;Ciclo;StatusAtendimento;Protocolo;ValorPedido;ValorFrete;Comissao;RepasseLiquido
TRILHA ESPORTE;2024-08-22;97080457202;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;1499.97;41.07;315.00;1184.97
TRILHA ESPORTE;2024-08-20;97067763401;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;499.9;22.13;104.98;394.92
TRILHA ESPORTE;2024-08-20;97067938501;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;399.9;27;83.98;315.92
TRILHA ESPORTE;2024-08-20;97068235101;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;939.9;72.29;197.38;742.52
TRILHA ESPORTE;2024-08-20;97068274902;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;299.9;26;62.98;236.92
TRILHA ESPORTE;2024-08-20;97068428402;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;499.9;32.76;104.98;394.92
TRILHA ESPORTE;2024-08-20;97068843801;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;299.9;26;62.98;236.92
TRILHA ESPORTE;2024-08-20;97068764301;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;297.9;20.11;62.56;235.34
TRILHA ESPORTE;2024-08-20;97069012301;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;379.9;26.8;79.78;300.12
TRILHA ESPORTE;2024-08-20;97069235302;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;299.9;30.76;62.98;236.92
TRILHA ESPORTE;2024-08-21;97075643501;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;369.9;20.83;77.68;292.22
TRILHA ESPORTE;2024-08-21;97075731001;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;299.9;26;62.98;236.92
TRILHA ESPORTE;2024-08-21;97076879301;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;499.9;67.89;104.98;394.92
TRILHA ESPORTE;2024-08-21;97076769001;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;499.9;50.95;104.98;394.92
TRILHA ESPORTE;2024-08-21;97077036501;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;499.99;28;105.00;394.99
TRILHA ESPORTE;2024-08-21;97076992101;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;499.99;28;105.00;394.99
TRILHA ESPORTE;2024-08-21;97076929001;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;299.9;20.13;62.98;236.92
TRILHA ESPORTE;2024-08-21;97076991701;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;499.9;22.13;104.98;394.92
TRILHA ESPORTE;2024-08-21;97077065202;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;359.9;31.36;75.58;284.32
TRILHA ESPORTE;2024-08-21;97077084701;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;379.9;26.8;79.78;300.12
TRILHA ESPORTE;2024-08-21;97077147101;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;379.9;31.56;79.78;300.12
TRILHA ESPORTE;2024-08-21;97077563001;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;549.9;28.5;115.48;434.42
TRILHA ESPORTE;2024-08-21;97077656001;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;499.9;50.95;104.98;394.92
TRILHA ESPORTE;2024-08-21;97077746201;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;299.9;20.13;62.98;236.92
TRILHA ESPORTE;2024-08-21;97077714701;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;549.9;22.63;115.48;434.42
TRILHA ESPORTE;2024-08-21;97077779001;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;499.9;67.89;104.98;394.92
TRILHA ESPORTE;2024-08-21;97077869301;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;499.9;22.13;104.98;394.92
TRILHA ESPORTE;2024-08-21;97078134401;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;499.99;32.76;105.00;394.99
TRILHA ESPORTE;2024-08-21;97078187301;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;379.9;26.8;79.78;300.12
TRILHA ESPORTE;2024-08-21;97078177701;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;499.99;22.13;105.00;394.99
TRILHA ESPORTE;2024-08-21;97078271902;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;449.9;27.5;94.48;355.42
TRILHA ESPORTE;2024-08-21;97078374902;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;499.9;28;104.98;394.92
TRILHA ESPORTE;2024-08-21;97078398801;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;499.99;67.89;105.00;394.99
TRILHA ESPORTE;2024-08-21;97078449001;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;299.9;26;62.98;236.92
TRILHA ESPORTE;2024-08-21;97078850901;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;499.99;28;105.00;394.99
TRILHA ESPORTE;2024-08-21;97078828701;pipecaladosnewanymarket;2024-09-20;Repasse Normal;-;499.9;28;104.98;394.92
